ORDER_ID,DATE_ORDERED,ORDER_COST
1,2022-02-28,16.57
2,2022-02-28,33.83
3,2022-02-28,9.27
4,2022-02-28,38.33
5,2022-02-28,21.34
6,2022-02-28,17.37
7,2022-02-28,18.18
8,2022-02-28,30.51
9,2022-02-28,48.06
10,2022-02-28,2.45
11,2022-02-28,5.88
12,2022-02-28,13.87
13,2022-02-28,22.18
14,2022-02-28,36.23
15,2022-02-28,13.73
16,2022-02-28,22.49
17,2022-02-28,15.74
18,2022-02-28,32.19
19,2022-02-28,10.37
20,2022-02-28,1.1
21,2022-02-28,6.99
22,2022-02-28,9.78
23,2022-02-28,8.38
24,2022-02-28,10.16
25,2022-02-28,13.62
26,2022-02-28,16.07
27,2022-02-28,8.77
28,2022-02-28,33.33
29,2022-02-28,25.85
30,2022-02-28,6.79
31,2022-02-28,18.77
32,2022-02-28,7.3
33,2022-02-28,21.25
34,2022-02-28,2.59
35,2022-02-28,18.02
36,2022-02-28,32.82
37,2022-02-28,29.64
38,2022-02-28,19.83
39,2022-02-28,15.87
40,2022-02-28,17.92
41,2022-02-28,28.65
42,2022-02-28,27.74
43,2022-02-28,16.77
44,2022-02-28,47.12
45,2022-02-28,15.98
46,2022-02-28,10.78
47,2022-02-28,5.49
48,2022-02-28,1.9
49,2022-02-28,22.63
50,2022-02-28,40.42
51,2022-02-28,13.01
52,2022-02-28,24.9
53,2022-02-28,22.92
54,2022-02-28,9.18
55,2022-02-28,17.87
56,2022-02-28,17.06
57,2022-02-28,11.78
58,2022-02-28,22.66
59,2022-02-28,5.49
60,2022-02-28,35.95
61,2022-02-28,14.47
62,2022-02-28,35.88
63,2022-02-28,15.97
64,2022-02-28,27.26
65,2022-02-28,45.71
66,2022-02-28,13.36
67,2022-02-28,32.79
68,2022-02-28,5.13
69,2022-02-28,15.23
70,2022-02-28,22.63
71,2022-02-28,16.46
72,2022-02-28,3.99
73,2022-02-28,36.71
74,2022-02-28,10.48
75,2022-02-28,37.9
76,2022-02-28,12.89
77,2022-02-28,16.27
78,2022-02-28,45.27
79,2022-02-28,12.07
80,2022-02-28,1.59
81,2022-02-28,12.17
82,2022-02-28,15.97
83,2022-02-28,5.48
84,2022-02-28,1.99
85,2022-02-28,23.7
